cie_id,system_id,cycle,trigger_maintenance,trigger_shop_maintenance,trigger_usage_change,trigger_FOD,CRUISE_DTAMB,CRUISE_ALT,CRUISE_MACH,CRUISE_COMMAND,TAKEOFF_DTAMB,TAKEOFF_ALT,TAKEOFF_MACH,TAKEOFF_COMMAND,CLIMB1_DTAMB,CLIMB1_ALT,CLIMB1_MACH,CLIMB1_COMMAND,CLIMB2_DTAMB,CLIMB2_ALT,CLIMB2_MACH,CLIMB2_COMMAND,matrix_deg_CmpFan_s_mapEff_in,matrix_deg_CmpFan_s_mapWc_in,matrix_deg_CmpBst_s_mapEff_in,matrix_deg_CmpBst_s_mapWc_in,matrix_deg_CmpH_s_mapEff_in,matrix_deg_CmpH_s_mapWc_in,matrix_deg_TrbH_s_mapEff_in,matrix_deg_TrbH_s_mapWc_in,matrix_deg_TrbL_s_mapEff_in,matrix_deg_TrbL_s_mapWc_in,normal,corrosion,erosion,fouling,tip_clearance,CRUISE_DECKSMRHPC_Tout,CRUISE_DECKSMRHP_Nmech,CRUISE_DECKSMRHPC_Tin,CRUISE_DECKSMRLPT_Tin,CRUISE_DECKSMRFuel_flow,CRUISE_DECKSMRHPC_Pout_st,TAKEOFF_DECKSMRHPC_Tout,TAKEOFF_DECKSMRHP_Nmech,TAKEOFF_DECKSMRHPC_Tin,TAKEOFF_DECKSMRLPT_Tin,TAKEOFF_DECKSMRFuel_flow,TAKEOFF_DECKSMRHPC_Pout_st,CLIMB1_DECKSMRHPC_Tout,CLIMB1_DECKSMRHP_Nmech,CLIMB1_DECKSMRHPC_Tin,CLIMB1_DECKSMRLPT_Tin,CLIMB1_DECKSMRFuel_flow,CLIMB1_DECKSMRHPC_Pout_st,CLIMB2_DECKSMRHPC_Tout,CLIMB2_DECKSMRHP_Nmech,CLIMB2_DECKSMRHPC_Tin,CLIMB2_DECKSMRLPT_Tin,CLIMB2_DECKSMRFuel_flow,CLIMB2_DECKSMRHPC_Pout_st,deg_CmpBst_s_mapEff_in,deg_CmpBst_s_mapWc_in,deg_CmpFan_s_mapEff_in,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_CmpH_s_mapWc_in,deg_TrbH_s_mapEff_in,deg_TrbH_s_mapWc_in,deg_TrbL_s_mapEff_in,deg_TrbL_s_mapWc_in
0,0,473,False,False,False,False,9.719,34954.740494,0.78787,24970.979712,15.611,77.30262,2.4e-05,24903.73091,9.017,14947.90658,0.543814,25012.389439,10.281,35027.476017,0.763531,24955.577747,-2.249416391266306,-0.8297070576471586,-0.02445295699090344,-0.1824362514023385,-11.5646398155394,-0.08348890528708525,-5.214406231433948,-0.3540661821460137,-2.2663135987922574,-0.44961959134573476,1,0.0,0.0,0.0,0.0,796.8575796460199,18063.8320194389,360.88105505963443,1199.944952522649,0.38545891139645444,1332222.2012457014,894.2216961063934,19065.502604292546,406.469095095114,1363.5958559087683,1.0510186239121002,3289722.905156357,817.3691918294596,18021.615552927557,376.9544252508488,1229.6054204103484,0.6058882188903026,2071620.540546006,800.7053215859675,18203.16418114563,361.43824967306693,1209.4438573543969,0.39583625834518527,1337918.0190626897,-0.011144052629305675,-0.006324099048786901,-0.00408049511630756,-0.004085208732290179,-0.03367602937962642,-0.004243569321698726,-0.02187437095346711,-0.0044106844174937945,-0.010918269846302911,-0.004664341188945349
0,0,474,False,False,False,False,9.99,35073.939507,0.770491,24968.378522,14.44,42.779134,6e-05,24939.691236,9.916,14988.633151,0.549907,25069.34397,9.897,35058.882058,0.794766,24957.022903,-2.249416391266306,-0.8297070576471586,-0.02445295699090344,-0.1824362514023385,-11.5646398155394,-0.08348890528708525,-5.214406231433948,-0.3540661821460137,-2.2663135987922574,-0.44961959134573476,1,0.0,0.0,0.0,0.0,797.6312107674538,18079.67603653831,359.7786478496502,1200.8713856924921,0.3881433797388037,1321096.3516395711,892.9653516865037,19045.21365406693,405.5021723230598,1357.6047260458404,1.0610349239657715,3306156.2895600772,821.1451852454321,18066.01092865544,378.20874679991306,1229.2608649513584,0.615968428744233,2068245.9814815596,802.8325830152128,18161.26513565257,363.22700566476254,1214.964490439281,0.40332686954935,1366028.396069303,-0.01120005660349624,-0.006347584560082014,-0.004122898793920788,-0.004091517341970683,-0.033879698780428,-0.004248623259770384,-0.021998462690476457,-0.004457360025717959,-0.010959447902980157,-0.004712429614977768
0,0,475,False,False,False,False,10.724,35018.420864,0.776496,25026.791038,15.649,27.906028,5.8e-05,25081.30491,9.971,15071.892208,0.55832,24970.978439,9.62,34904.745987,0.767393,25058.343731,-2.249416391266306,-0.8297070576471586,-0.02445295699090344,-0.1824362514023385,-11.5646398155394,-0.08348890528708525,-5.214406231433948,-0.3540661821460137,-2.2663135987922574,-0.44961959134573476,1,0.0,0.0,0.0,0.0,799.1287238392769,18099.61295938842,361.4609905724836,1207.5055027187054,0.39070430255398914,1325768.950039549,894.8504425165703,19057.127266808264,406.72479986418324,1366.6411598139337,1.0563665762192749,3286941.303530751,821.6028733479214,18047.608175543177,378.5898311116376,1235.4650467846668,0.6191211357626712,2074549.2161034674,799.7852259461825,18160.640193511957,360.81506908472164,1211.790859092034,0.40463433246053826,1354728.9640026717,-0.011240027444827716,-0.006394043620260397,-0.004129130181844512,-0.004134735905822296,-0.03408159604910416,-0.004268508147260925,-0.022122454569380928,-0.00446435228934046,-0.011026410843983304,-0.004756544551444227
0,0,476,False,False,False,False,10.526,35062.53265,0.777096,24973.374272,14.927,67.207832,8.1e-05,24911.455256,10.351,14976.486464,0.549733,24996.986769,10.094,35030.19558,0.786781,24928.075506,-2.249416391266306,-0.8297070576471586,-0.02445295699090344,-0.1824362514023385,-11.5646398155394,-0.08348890528708525,-5.214406231433948,-0.3540661821460137,-2.2663135987922574,-0.44961959134573476,1,0.0,0.0,0.0,0.0,798.2059505861414,18091.8478877376,361.4405838498326,1204.0218521961276,0.39294189750772485,1323203.3185581097,893.2997036789343,19066.73249207868,406.1953133147083,1363.0356278395543,1.0690558665203493,3303592.6402017847,821.0044899291685,18013.752320024476,378.3434487387518,1240.9547949783228,0.6115599116256976,2056941.8983712133,802.7279628391847,18163.075985613188,363.11655754541545,1212.4457529662413,0.4039511333443287,1356712.992574753,-0.011313105386936787,-0.006418273920725426,-0.004137385779501422,-0.00416614182261341,-0.034321708834905235,-0.004270423277346434,-0.022221999751449173,-0.004514343172126889,-0.011097068858765553,-0.004769657842252684
0,0,477,False,False,False,False,10.837,35097.441808,0.765752,25065.937755,14.322,43.809459,3.9e-05,25087.99801,9.046,14948.855442,0.544014,25035.066565,10.48,35030.588926,0.791202,24978.186453,-2.249416391266306,-0.8297070576471586,-0.02445295699090344,-0.1824362514023385,-11.5646398155394,-0.08348890528708525,-5.214406231433948,-0.3540661821460137,-2.2663135987922574,-0.44961959134573476,1,0.0,0.0,0.0,0.0,798.9784833312242,18114.802885229255,361.1158585076206,1209.8228897839306,0.38754162007364873,1316072.6105760816,892.8789104670898,19047.452074554585,405.3862120421504,1363.4032172199359,1.0586361722105222,3307053.009113904,818.3959358915548,18026.083602127295,376.3013280765071,1230.9814748877188,0.6190542464053645,2069256.5708437138,804.1915976627175,18147.590796326007,363.41649836102437,1211.8382256061632,0.4033873189631698,1354628.6945998159,-0.01138122388849911,-0.006434967112120599,-0.004157607854676425,-0.00421481069648054,-0.03453970643349141,-0.004275754044586251,-0.022364737523547635,-0.004567176270901671,-0.011143118518284627,-0.004799627984823816
0,0,478,False,False,False,False,10.315,34903.603238,0.777539,24908.835247,15.661,19.715219,3e-06,24946.376404,9.36,14955.609934,0.548555,24917.311872,9.617,35073.083196,0.778474,25086.868768,-2.249416391266306,-0.8297070576471586,-0.02445295699090344,-0.1824362514023385,-11.5646398155394,-0.08348890528708525,-5.214406231433948,-0.3540661821460137,-2.2663135987922574,-0.44961959134573476,1,0.0,0.0,0.0,0.0,796.9375202483966,18039.961856108162,361.1531063280625,1206.6997628219842,0.387952577520994,1328319.0552095005,894.3658764175973,19046.626586501625,406.58226930507504,1365.3083046895208,1.057614173815712,3284139.9085359625,819.6337899100648,18041.033531596557,377.36645436859675,1232.2621107727218,0.6188627163822464,2062002.2384738203,801.0793417456791,18143.69115208181,361.52948911528205,1213.6219841564541,0.4022643879341179,1352226.19105339,-0.011468576420018016,-0.006499505994744883,-0.00418528568399435,-0.0042625661121061,-0.03475945258613631,-0.004289805639051008,-0.022502949565123605,-0.00459313445071277,-0.011207745892968383,-0.0048219402654749634
0,0,479,False,False,False,False,9.882,35001.823523,0.795412,25085.709213,15.271,41.930932,2.6e-05,25080.319084,9.372,14978.019002,0.542607,25099.165941,9.463,34965.261904,0.798993,25010.542241,-2.249416391266306,-0.8297070576471586,-0.02445295699090344,-0.1824362514023385,-11.5646398155394,-0.08348890528708525,-5.214406231433948,-0.3540661821460137,-2.2663135987922574,-0.44961959134573476,1,0.0,0.0,0.0,0.0,800.8209167342287,18080.42195415691,362.3365194090652,1210.452090068398,0.39766951305449016,1342731.7329923294,893.5110306675687,19082.35338794697,406.71003218779146,1368.6757450584257,1.0653775879909586,3298640.079846723,820.3126957994303,18017.825939605962,377.0094314067271,1236.1721613853138,0.6139245095420789,2063083.638684558,802.5647056192611,18127.785656684144,362.7918732515798,1213.6527672558,0.40230985816193643,1373617.652612771,-0.011531378388890887,-0.006517158220338075,-0.004201687308666156,-0.004311485568924749,-0.03497318511657026,-0.004324071750553799,-0.022606999496287986,-0.004611530599294969,-0.011271000873926788,-0.004873800814613828
0,0,480,False,False,False,False,9.703,34987.610856,0.762209,24958.611627,14.9,20.44024,6.8e-05,24943.184257,9.595,14938.174726,0.541109,25029.394085,9.507,35085.973147,0.776216,25090.179757,-2.249416391266306,-0.8297070576471586,-0.02445295699090344,-0.1824362514023385,-11.5646398155394,-0.08348890528708525,-5.214406231433948,-0.3540661821460137,-2.2663135987922574,-0.44961959134573476,1,0.0,0.0,0.0,0.0,794.090408671012,18033.43040206619,358.75871924584084,1202.8267752470856,0.3863086349721224,1310092.815529935,894.5503420533498,19045.711733320324,406.40655926357397,1364.8411592360585,1.0706738647173168,3302085.9762889277,820.1970472211358,18038.149380632545,377.04410958444674,1237.2104423925202,0.6128567778522604,2060004.3979529787,800.063149804279,18125.34475696943,361.136358812262,1212.469131436518,0.39998318748769285,1349813.7626298163,-0.011577633604449612,-0.0065473559596610645,-0.00424591214892548,-0.004316296092967477,-0.035204115810036754,-0.004331400323462362,-0.02271903140107113,-0.004626894184302354,-0.011346274046193497,-0.004946090189106627
0,0,481,False,False,False,False,9.847,35039.256915,0.780111,25097.787104,15.938,70.966121,6.4e-05,24923.702777,10.612,14992.524123,0.543924,25091.570937,9.407,34949.771292,0.763758,24983.807207,-2.249416391266306,-0.8297070576471586,-0.02445295699090344,-0.1824362514023385,-11.5646398155394,-0.08348890528708525,-5.214406231433948,-0.3540661821460137,-2.2663135987922574,-0.44961959134573476,1,0.0,0.0,0.0,0.0,798.6248019511335,18053.535076657474,360.91383519137486,1209.3807441138645,0.3936448029872558,1328556.2777293455,895.3128621345162,19043.253191471846,406.77023988540583,1371.058500882161,1.0577403789477768,3269011.7817587685,821.0544843104577,18029.309598969063,378.22046862377465,1235.9039855456,0.6099459839534597,2043601.271705255,798.2156003799894,18127.877311774504,360.49544396408015,1210.3046257106025,0.39859317976008213,1342931.9889643462,-0.0116190241659942,-0.0065633867817064375,-0.004281640200957703,-0.004332962828778231,-0.03541931113955418,-0.00433693810785059,-0.022852510057992718,-0.0046800732710991265,-0.011404560721080202,-0.0049855845952873545
0,0,482,False,False,False,False,10.555,35010.426837,0.786687,25022.123281,15.437,65.146104,8.9e-05,24925.69814,9.286,14961.611584,0.542839,24935.445965,10.387,34930.029139,0.787222,25053.207874,-2.249416391266306,-0.8297070576471586,-0.02445295699090344,-0.1824362514023385,-11.5646398155394,-0.08348890528708525,-5.214406231433948,-0.3540661821460137,-2.2663135987922574,-0.44961959134573476,1,0.0,0.0,0.0,0.0,800.8081388805879,18076.808261321225,362.4152888640841,1210.2791115331997,0.39707457393613454,1331575.415251869,896.3921929755907,19015.157025559074,406.70088908696044,1366.1339621525294,1.0612247038428522,3285031.47533392,819.7460930735656,18017.16419176111,376.8653621016623,1236.018440416668,0.611921413303603,2063296.7668880282,803.8359073424401,18116.84631693895,363.5119855042828,1215.099640960554,0.3990440623726674,1351310.3649634027,-0.011705230092121016,-0.006597464079642738,-0.004325698496281176,-0.004341250381266761,-0.035620852474831426,-0.0043639448836617694,-0.02295402646390789,-0.0047037908015217355,-0.011461163790023352,-0.005009436791969062
