cie_id,system_id,cycle,trigger_maintenance,trigger_shop_maintenance,trigger_usage_change,trigger_FOD,CRUISE_DTAMB,CRUISE_ALT,CRUISE_MACH,CRUISE_COMMAND,TAKEOFF_DTAMB,TAKEOFF_ALT,TAKEOFF_MACH,TAKEOFF_COMMAND,matrix_deg_CmpFan_s_mapEff_in,matrix_deg_CmpFan_s_mapWc_in,matrix_deg_CmpBst_s_mapEff_in,matrix_deg_CmpBst_s_mapWc_in,matrix_deg_CmpH_s_mapEff_in,matrix_deg_CmpH_s_mapWc_in,matrix_deg_TrbH_s_mapEff_in,matrix_deg_TrbH_s_mapWc_in,matrix_deg_TrbL_s_mapEff_in,matrix_deg_TrbL_s_mapWc_in,normal,corrosion,erosion,fouling,tip_clearance,CRUISE_DECKSMRHPC_Tout,CRUISE_DECKSMRHP_Nmech,CRUISE_DECKSMRHPC_Tin,CRUISE_DECKSMRLPT_Tin,CRUISE_DECKSMRFuel_flow,CRUISE_DECKSMRHPC_Pout_st,TAKEOFF_DECKSMRHPC_Tout,TAKEOFF_DECKSMRHP_Nmech,TAKEOFF_DECKSMRHPC_Tin,TAKEOFF_DECKSMRLPT_Tin,TAKEOFF_DECKSMRFuel_flow,TAKEOFF_DECKSMRHPC_Pout_st,deg_CmpBst_s_mapEff_in,deg_CmpBst_s_mapWc_in,deg_CmpFan_s_mapEff_in,deg_CmpFan_s_mapWc_in,deg_CmpH_s_mapEff_in,deg_CmpH_s_mapWc_in,deg_TrbH_s_mapEff_in,deg_TrbH_s_mapWc_in,deg_TrbL_s_mapEff_in,deg_TrbL_s_mapWc_in
4,10,0,False,False,False,False,9.563,34906.978322,0.768111,25040.016154,14.625,83.008749,1.4e-05,24943.957005,-2.7613630717804103,-1.2370054428487156,-0.7034003005612286,-0.2889165831859991,-11.469725253809056,-0.6037347417391636,-7.153543082528563,-0.18534888471431504,-2.139661643112497,-0.4798466197785454,1,0.0,0.0,1.0,0.0,796.9687983375021,19355.98427428427,334.8019901384273,1118.9506275818298,0.37115295815139937,1372131.305363501,893.4384047196685,20065.034269127107,386.64919493069226,1271.523655367777,1.029021796193385,3527037.662834363,-0.0005649431534335705,-0.0002500883992374333,-6.365613067455501e-05,8.941584400805266e-06,-0.0025793967333121543,-8.754538033617042e-05,-0.001579801663384871,3.779402123721407e-05,-0.000422442785984551,-1.375637061219606e-05
4,10,1,False,False,False,False,10.638,35046.980659,0.772953,25059.729256,14.149,82.088377,4.5e-05,25045.471573,-2.7613630717804103,-1.2370054428487156,-0.7034003005612286,-0.2889165831859991,-11.469725253809056,-0.6037347417391636,-7.153543082528563,-0.18534888471431504,-2.139661643112497,-0.4798466197785454,1,0.0,0.0,1.0,0.0,800.6636995799676,19386.21154964302,336.421500705202,1130.4123971461822,0.37580741598071493,1370754.8813962925,894.4885465946813,20045.499831294972,386.6807332858954,1272.4947472586898,1.035513427108088,3518033.6446051765,-0.0008607220697274378,-0.00038746011760324556,-0.00020104982584435177,-6.23959229272762e-05,-0.0037395024054653375,-0.00013722842820825256,-0.0023011744115545942,-4.325723170466954e-07,-0.0006469902430806636,-6.913264612043804e-05
4,10,2,False,False,False,False,10.44,35099.398552,0.766654,24905.539036,14.675,8.355981,4.6e-05,24983.100014,-2.7613630717804103,-1.2370054428487156,-0.7034003005612286,-0.2889165831859991,-11.469725253809056,-0.6037347417391636,-7.153543082528563,-0.18534888471431504,-2.139661643112497,-0.4798466197785454,1,0.0,0.0,1.0,0.0,798.469124717264,19369.48972633728,335.13871556994627,1124.9507857006693,0.36523222159078705,1360075.9466810087,893.649248231365,20013.787496288183,386.45770886422036,1268.5329277915991,1.0326713987360938,3529429.740769934,-0.0009694134723545419,-0.0004370040442371299,-0.0002303883507248323,-9.345066913500292e-05,-0.004258767321810726,-0.0001532635810131985,-0.002616408976519153,-1.4717553421572634e-05,-0.0007465046474127811,-0.00013666671332429153
4,10,3,False,False,False,False,9.731,34902.149557,0.794939,25040.968842,15.539,44.298162,9.7e-05,24974.146494,-2.7613630717804103,-1.2370054428487156,-0.7034003005612286,-0.2889165831859991,-11.469725253809056,-0.6037347417391636,-7.153543082528563,-0.18534888471431504,-2.139661643112497,-0.4798466197785454,1,0.0,0.0,1.0,0.0,800.5569266509814,19361.092977957233,337.25291631394316,1123.5473796871104,0.38273282478545867,1393459.2739982614,893.9639383619985,20003.108013338755,386.69085795163875,1270.115996327715,1.0270895326469323,3512749.404675686,-0.0010409708383552,-0.00048044926162002434,-0.0002454517449128293,-0.00011819020933228952,-0.004584810413647184,-0.00018097338824943617,-0.0028305016951446597,-2.0162147170399414e-05,-0.0008526362825328557,-0.0001775859822553114
4,10,4,False,False,False,False,10.786,35087.960714,0.772962,25099.307748,14.575,10.29843,8.7e-05,24961.832219,-2.7613630717804103,-1.2370054428487156,-0.7034003005612286,-0.2889165831859991,-11.469725253809056,-0.6037347417391636,-7.153543082528563,-0.18534888471431504,-2.139661643112497,-0.4798466197785454,1,0.0,0.0,1.0,0.0,802.5089337769296,19401.60663665616,336.8507764324952,1133.9573095552437,0.3741182077749,1371055.447949702,893.6762670793025,20009.28363374103,387.12518195522017,1273.704699009896,1.033087547475087,3522682.61648863,-0.0011219600438932811,-0.0005027926047413714,-0.0002605107243529864,-0.0001724277962458457,-0.004853781896218228,-0.0002117560251485818,-0.003061017769666434,-3.5691721570778796e-05,-0.000913743549247543,-0.0001998152716798693
4,10,5,False,False,False,False,10.105,34907.204646,0.789279,24903.081849,14.351,35.841149,9.1e-05,24933.773718,-2.7613630717804103,-1.2370054428487156,-0.7034003005612286,-0.2889165831859991,-11.469725253809056,-0.6037347417391636,-7.153543082528563,-0.18534888471431504,-2.139661643112497,-0.4798466197785454,1,0.0,0.0,1.0,0.0,799.4646285231466,19335.72275206784,337.0250512209075,1126.6861872690924,0.3752439825653797,1382491.5668776317,894.3565305200909,20003.129211822452,386.8173083170088,1273.880020362262,1.0322102891085214,3515342.0599884177,-0.0012178310148828516,-0.0005287389206350469,-0.00031260554048505947,-0.00021104219321423632,-0.005067242372391467,-0.00023013921837785895,-0.003200785057513549,-6.0687867199732295e-05,-0.0010068946618480314,-0.00022261013169387324
4,10,6,False,False,False,False,10.855,34934.858878,0.788646,24905.042828,14.447,41.408783,4.7e-05,24923.808028,-2.7613630717804103,-1.2370054428487156,-0.7034003005612286,-0.2889165831859991,-11.469725253809056,-0.6037347417391636,-7.153543082528563,-0.18534888471431504,-2.139661643112497,-0.4798466197785454,1,0.0,0.0,1.0,0.0,802.7596903635343,19359.703346315415,337.953706537671,1128.6033939948475,0.379900217241011,1377235.5222591655,892.9127120206973,19996.880408728204,386.72467741831184,1274.5692832128582,1.0354357668395153,3518558.141385765,-0.0012873175446830494,-0.0005686785093102592,-0.00034900295579262766,-0.0002878411172485124,-0.005300595582306419,-0.0002618384747631471,-0.0033706531157647805,-6.44712424405609e-05,-0.0010568128009068485,-0.00024125383900447977
4,10,7,False,False,False,False,10.602,34945.569769,0.778867,24957.940018,15.957,40.183208,6e-05,25075.458891,-2.7613630717804103,-1.2370054428487156,-0.7034003005612286,-0.2889165831859991,-11.469725253809056,-0.6037347417391636,-7.153543082528563,-0.18534888471431504,-2.139661643112497,-0.4798466197785454,1,0.0,0.0,1.0,0.0,801.090438482855,19340.76546952923,336.86186259397755,1126.6712654139399,0.37206947694820836,1374331.8473836854,892.5826462862826,19977.208209036093,386.42278144809535,1268.8505538791796,1.0259413983230434,3491612.967577786,-0.0013570197995754854,-0.0005906964540108264,-0.00039417849116185275,-0.0003472668978090526,-0.0055349324083531016,-0.0002858800552836541,-0.003512463860085346,-8.330708211839248e-05,-0.0010996408738117496,-0.00029266285288705716
4,10,8,False,False,False,False,9.413,34999.040163,0.769772,24914.55151,14.282,95.467071,7.9e-05,24902.470229,-2.7613630717804103,-1.2370054428487156,-0.7034003005612286,-0.2889165831859991,-11.469725253809056,-0.6037347417391636,-7.153543082528563,-0.18534888471431504,-2.139661643112497,-0.4798466197785454,1,0.0,0.0,1.0,0.0,795.1280502060564,19276.997069894987,334.5090887723539,1123.504684156626,0.36855883112535665,1361427.3567922635,893.9136632663948,19983.595337313403,386.6886846955181,1276.7359923216559,1.034454713619575,3516873.6658363463,-0.0014167868285437691,-0.0006402478571155854,-0.0004457731685507466,-0.0004112953807989791,-0.005742733222964933,-0.00029718108450392245,-0.0036690425853646426,-0.00011103183725061765,-0.001139492326390764,-0.0003221454028835884
4,10,9,False,False,False,False,9.964,34962.494459,0.760608,25000.896348,15.786,73.007378,9.4e-05,25097.174832,-2.7613630717804103,-1.2370054428487156,-0.7034003005612286,-0.2889165831859991,-11.469725253809056,-0.6037347417391636,-7.153543082528563,-0.18534888471431504,-2.139661643112497,-0.4798466197785454,1,0.0,0.0,1.0,0.0,796.6754905302117,19325.227155703476,334.5790672038415,1123.2184135562006,0.37008943405512995,1355634.4442054532,892.5498565791095,19955.72529185007,386.4637341025887,1271.351282577235,1.025632277200618,3494297.316349686,-0.0014917581022527954,-0.0006651315735613808,-0.00046182018565750656,-0.0004304066966892331,-0.005965141428025077,-0.0003534302680073478,-0.003830410835478083,-0.00014568617196870925,-0.0012151535593552436,-0.00034984559996937626
