N,Mass Flow,Efficiency,Pressure Ratio,Mass Flow Lbs
0.975,49.4000741331,0.80289,15.79808,108.90909
0.975,49.4000741331,0.80819,16.36533,108.90909
0.975,49.3924991801,0.81216,16.92903,108.89239
0.975,49.384928763,0.81535,17.49256,108.8757
0.975,49.3546334869,0.81754,18.04478,108.80891
0.975,49.3243382108,0.8193,18.59636,108.74212
0.975,49.2713180757,0.82018,19.13568,108.62523
0.975,49.2031525705,0.82026,19.66598,108.47495
0.975,49.1122667422,0.8193,20.18278,108.27458
0.975,49.0070746853,0.81702,20.68995,108.04267
0.975,48.8555983048,0.81316,21.1694,107.70872
0.975,48.66068161,0.80852,21.62138,107.279
0.975,48.4533410851,0.80307,22.06234,106.82189
0.975,48.2118180178,0.79754,22.4793,106.28942
0.975,47.9467354859,0.79175,22.87756,105.70501
1.0,55.1604131227,0.79065,18.47719,121.60853
1.0,55.1604131227,0.79564,19.10507,121.60853
1.0,55.1604131227,0.80065,19.73296,121.60853
1.0,55.1528427056,0.80365,20.35696,121.59184
1.0,55.1528427056,0.80692,20.98477,121.59184
1.0,55.1376927996,0.80917,21.60449,121.55844
1.0,55.11497247649999,0.81043,22.21978,121.50835
1.0,55.084677200399994,0.81088,22.8304,121.44156
1.0,55.0493334676,0.81043,23.43754,121.36364
1.0,55.019877333,0.80867,24.04733,121.2987
1.0,54.9609695997,0.80617,24.63928,121.16883
1.0,54.902061866400004,0.80266,25.23002,121.03896
1.0,54.8120197155,0.7984,25.8007,120.84045
1.0,54.6984090282,0.79213,26.35504,120.58998
1.0,54.5486154666,0.78486,26.88447,120.25974
1.025,58.1562979624,0.75479,19.9446,128.21336
1.025,58.1562979624,0.7618,20.60374,128.21336
1.025,58.1562979624,0.76882,21.26288,128.21336
1.025,58.1562979624,0.77409,21.92202,128.21336
1.025,58.1562979624,0.77885,22.58116,128.21336
1.025,58.14199173379999,0.78236,23.23243,128.18182
1.025,58.122637048499996,0.78465,23.88057,128.13915
1.025,58.122637048499996,0.78586,24.53937,128.13915
1.025,58.09739022910001,0.78614,25.18348,128.08349
1.025,58.0830840005,0.78553,25.83355,128.05195
1.025,58.0430138599,0.78386,26.46782,127.96361
1.025,57.9964029515,0.78123,27.09726,127.86085
1.025,57.9358123993,0.77781,27.71705,127.72727
1.025,57.8474530673,0.77321,28.31804,127.53247
1.025,57.714623771700005,0.76779,28.88871,127.23963
